nms,cluster,site
CINMS,San Miguel,Otter Harbor
,,Harris Point
,,Cuyler Harbor
,,Crook Point
,Santa Rosa,Fossil Reef
,,NW Talcott
,,Carrington Point
,,East Point
,,Ford Point
,,Johnsons Lee
,,South Point
,Santa Cruz,Trailer
,,Forney
,,Fraser Cove
,,Orizaba Cove
,,Prisoners Harbor
,,Scorpion Rock
,,Valley
,,Valley Anchorage
,,Willows Anchorage
,Anacapa,Cat Rock
,,Middle West
,,Middle East
,,S Frenchys Cove
,Santa Barbara,Landing Cove
,,Sea Lion Rookery
MBNMS,North,Fitzgerald Marine Reserve
,,Pebble Beach
,,Pigeon Point
,,Franklin Point
,,Año Nuevo
,,Scott Creek
,,Davenport Landing
,,Sandhill Bluff
,,Wilder Ranch
,,Terrace Point
,,Natural Bridges
,South,Hopkins
,,Point Piños
,,Asilomar
,,China Rocks
,,Pescadero Point
,,Stillwater
,,Carmel Point
,,Point Lobos
,,Mal Paso
,,Garrapata
,,Soberanes
,,Andrew Molera
,,Partington Cove
,,Lucia
,,Mill Creek
,,Pacific Valley
,,Alder Creek Landslide
,,Duck Pond
,,Point Sierra Nevada
,,Piedras Blancas
,,San Simeon Point
,,Vista del Mar
